Country,Month,Temperature,Humidity
Ivory Coast,July,43.57,35.65
Uganda,May,49.0,50.87
Cameroon,June,21.57,24.47
Central African Republic,May,25.46,34.94
Sudan,May,43.94,59.58
Eswatini,July,23.4,83.76
Libya,July,21.4,67.78
Tunisia,June,49.4,18.79
Lesotho,July,26.55,40.84
Democratic Republic of the Congo,May,36.22,26.91
Angola,August,48.24,46.34
Zambia,August,37.22,29.6
Botswana,June,41.26,51.97
Gabon,May,39.38,17.81
Zambia,June,48.94,66.82
Morocco,June,21.96,14.44
Central African Republic,May,27.95,27.04
Namibia,July,36.28,87.31
Madagascar,July,29.23,50.17
Ivory Coast,August,45.64,21.65
Chad,August,29.87,35.45
Angola,August,30.57,75.28
Guinea-Bissau,July,30.74,28.58
Kenya,August,20.24,48.61
Botswana,June,29.86,37.7
Central African Republic,May,32.04,72.68
Burkina Faso,May,23.68,33.57
Madagascar,July,28.27,52.18
Madagascar,July,40.47,46.33
Benin,June,21.53,12.54
Sao Tome and Principe,May,35.32,77.0
Burundi,May,34.33,81.39
Egypt,July,40.83,51.83
Malawi,August,47.0,61.37
Nigeria,July,29.16,67.58
Lesotho,June,48.74,41.91
Uganda,May,39.98,62.51
Cameroon,June,35.46,32.53
Algeria,July,31.1,31.0
Djibouti,May,46.86,40.56
Togo,July,29.62,84.26
Algeria,July,28.35,54.88
Ivory Coast,August,39.9,11.68
Malawi,July,41.13,87.52
Mauritania,August,35.33,14.45
Central African Republic,May,20.61,49.13
Djibouti,August,36.32,31.74
Senegal,July,21.55,44.15
South Sudan,May,25.25,81.09
Burundi,August,45.62,39.02
Burundi,August,34.28,57.58
Ghana,May,25.99,34.27
Malawi,July,39.29,24.61
Congo,June,30.71,39.21
Benin,May,28.16,23.91
Central African Republic,June,22.74,26.36
Eswatini,August,30.36,47.75
Burundi,May,39.08,38.34
Togo,July,39.06,33.66
Seychelles,June,36.94,71.56
Angola,July,41.08,43.91
Egypt,July,25.21,76.33
Botswana,June,47.98,33.26
Lesotho,June,25.8,28.53
Malawi,July,44.8,87.75
Seychelles,May,40.04,17.74
Ivory Coast,August,45.05,65.86
Ghana,June,42.15,26.38
Ethiopia,June,48.82,64.36
Seychelles,June,47.23,55.6
Sudan,June,32.64,44.78
Democratic Republic of the Congo,July,44.52,76.56
Congo,May,32.22,42.37
Zimbabwe,July,21.61,70.31
Guinea,July,42.53,48.58
Guinea,May,31.62,43.83
Angola,August,41.95,76.71
Niger,August,24.48,72.21
Botswana,July,30.99,88.33
Central African Republic,May,46.07,62.09
Morocco,August,45.9,47.89
Kenya,August,39.52,23.61
Rwanda,August,24.51,59.36
Tanzania,June,21.88,55.82
Ghana,August,37.8,17.91
Zambia,July,45.52,28.37
Sao Tome and Principe,August,45.85,41.12
Kenya,August,47.45,51.75
Egypt,June,24.5,35.03
Central African Republic,June,38.41,66.07
Madagascar,August,47.79,24.04
Sudan,May,39.09,11.17
Chad,May,34.87,17.52
Eswatini,May,33.17,33.51
Mozambique,August,31.16,59.1
Burundi,June,42.01,65.78
Congo,June,40.31,36.11
Malawi,July,29.93,64.14
Algeria,May,29.4,74.72
Tunisia,June,34.64,13.81
Sudan,June,29.84,34.11
Namibia,August,28.22,44.51
Sudan,May,49.13,72.72
Djibouti,August,35.8,59.47
Sierra Leone,August,39.91,80.77
Niger,July,31.82,86.29
South Africa,August,48.58,61.94
Equatorial Guinea,May,35.36,29.95
Kenya,July,30.99,67.09
Gabon,July,45.52,24.04
Kenya,July,43.03,87.48
Zambia,August,34.9,88.28
Ethiopia,July,38.23,34.9
Egypt,August,39.12,34.57
Morocco,May,48.33,40.97
Libya,July,31.34,73.12
Djibouti,May,49.76,61.57
Cameroon,May,24.91,18.89
Chad,June,47.84,43.4
Mauritania,August,23.54,56.81
Burkina Faso,July,49.25,67.0
Nigeria,May,39.78,70.83
Mauritania,May,44.15,31.43
Egypt,August,33.18,64.24
Burkina Faso,July,27.98,53.91
Ethiopia,May,26.26,43.03
Zambia,May,20.01,82.57
Central African Republic,June,21.21,49.09
Comoros,July,47.23,55.62
Mauritania,July,40.81,27.31
Senegal,August,35.32,70.58
Liberia,May,34.67,68.99
Senegal,July,29.79,23.75
Tanzania,May,25.25,13.65
Comoros,May,26.42,87.4
Angola,August,45.77,16.87
Mozambique,July,36.31,28.22
Madagascar,May,38.51,39.66
Libya,August,21.51,60.34
Democratic Republic of the Congo,June,24.55,26.2
Togo,May,30.12,22.39
Ivory Coast,August,38.66,68.52
Namibia,May,42.54,74.62
Chad,May,20.42,51.03
Kenya,June,41.34,89.23
Central African Republic,June,40.27,19.97
Senegal,August,49.43,10.91
Ivory Coast,July,27.44,29.01
Cabo Verde,August,34.4,18.95
Burundi,August,42.49,22.17
Algeria,May,47.21,42.78
Zambia,August,28.25,73.86
Angola,July,44.94,12.08
Tunisia,August,38.33,29.59
Senegal,July,38.97,49.05
Rwanda,May,35.17,22.2
Guinea-Bissau,August,22.95,76.28
Congo,June,42.06,52.65
Central African Republic,July,33.23,30.1
Equatorial Guinea,July,48.84,35.29
Chad,July,35.74,69.97
Mozambique,August,44.76,46.17
Uganda,May,42.76,75.63
Gabon,May,49.79,86.78
Mali,August,49.3,25.24
Mali,May,42.57,30.55
Zimbabwe,May,28.81,25.21
South Africa,August,37.05,41.88
Mauritius,June,48.33,63.04
Eswatini,June,49.46,53.18
Mozambique,June,27.54,52.54
Niger,August,21.07,23.92
Democratic Republic of the Congo,July,46.68,87.66
Guinea,July,37.11,83.39
Morocco,July,39.4,69.78
Kenya,June,23.3,26.96
Niger,August,49.25,49.39
Botswana,August,44.23,34.8
South Sudan,June,33.04,53.14
Botswana,July,29.77,33.83
Mozambique,July,24.76,53.24
Seychelles,June,32.05,56.46
Angola,June,24.07,24.05
Gambia,July,47.33,39.32
Togo,May,48.65,64.09
Equatorial Guinea,June,49.57,19.31
Malawi,August,27.55,75.79
Burkina Faso,June,29.64,75.37
Eritrea,June,47.96,61.23
Equatorial Guinea,June,27.23,79.47
Djibouti,May,44.72,59.95
Mauritania,May,20.62,22.68
Benin,July,31.88,76.13
Eritrea,August,44.72,28.22
South Africa,May,22.14,13.6
Kenya,August,47.16,48.45
Egypt,May,25.66,88.03
Seychelles,May,28.79,47.76
Zambia,June,45.34,42.68
Guinea,August,30.18,89.2
Burkina Faso,May,20.47,88.48
Cameroon,August,24.49,39.31
Eswatini,August,22.94,68.53
Nigeria,June,41.46,21.68
Sudan,May,45.68,11.39
Tunisia,July,30.12,11.76
Angola,May,47.28,49.7
South Africa,July,37.18,60.12
Comoros,May,41.24,73.14
Algeria,July,27.18,24.43
Ivory Coast,August,39.35,52.41
Cameroon,May,20.16,60.98
Togo,July,46.57,11.2
Libya,August,37.78,13.84
Ghana,August,20.68,88.53
Guinea-Bissau,June,38.0,48.32
Gambia,July,42.51,45.06
Rwanda,May,45.43,16.82
Morocco,May,23.5,25.3
Niger,July,31.87,29.27
Somalia,May,47.86,73.07
Mozambique,May,33.63,79.33
Zambia,July,45.86,39.74
Ghana,June,33.84,45.36
Cameroon,June,41.55,81.21
Benin,June,26.72,13.13
Cameroon,August,21.62,20.99
Ghana,July,27.87,48.56
Libya,June,30.72,55.5
Central African Republic,May,46.61,64.15
Eswatini,May,30.96,89.94
Uganda,June,48.79,31.95
Uganda,July,20.66,21.15
Senegal,May,37.6,79.54
Equatorial Guinea,July,33.54,31.73
Comoros,July,46.84,88.06
Liberia,July,47.69,32.1
South Africa,June,49.77,73.23
Niger,August,43.98,25.58
Guinea-Bissau,May,25.63,21.6
Mauritania,June,41.51,80.64
Tanzania,July,30.91,78.66
Sudan,June,27.16,83.39
Ivory Coast,May,26.51,78.68
Madagascar,August,39.23,60.39
Guinea,June,26.77,88.43
Gambia,May,49.56,66.87
Burkina Faso,May,29.12,33.62
Cameroon,August,49.46,62.44
Malawi,May,47.56,63.64
Uganda,August,46.16,64.55
Ghana,June,32.83,88.38
Congo,July,20.86,12.51
Mali,July,21.5,47.85
Cameroon,August,23.92,87.48
Burundi,July,46.41,28.16
Central African Republic,August,46.91,23.91
Egypt,July,22.83,22.79
Mauritania,May,35.19,14.25
Djibouti,June,22.63,27.85
Mauritania,July,36.82,46.45
Guinea,June,42.05,21.37
Mauritania,June,23.56,22.91
Tanzania,July,37.8,41.94
Burkina Faso,May,35.31,75.18
Sierra Leone,May,22.55,26.38
Guinea-Bissau,May,36.68,60.29
Central African Republic,June,40.45,55.73
Sao Tome and Principe,July,36.94,43.83
Malawi,July,26.82,86.54
Eswatini,June,26.58,31.28
Djibouti,June,44.59,31.88
Seychelles,August,29.73,69.2
Guinea,August,20.88,11.86
Mauritania,July,34.07,73.49
South Africa,August,24.98,10.57
Eritrea,May,28.93,48.56
Zimbabwe,August,36.88,13.47
Gabon,August,32.08,31.79
Liberia,May,42.5,82.88
Egypt,August,45.95,34.99
Central African Republic,May,33.29,64.54
Ivory Coast,August,48.27,15.8
Sudan,July,32.95,28.57
Mauritius,June,36.71,57.2
Zambia,May,23.8,80.67
Chad,August,27.59,50.67
Uganda,May,38.09,76.47
Guinea-Bissau,May,40.14,68.72
Lesotho,July,41.02,61.83
Democratic Republic of the Congo,August,43.83,26.23
Tunisia,July,45.67,10.14
Morocco,July,48.09,46.16
Rwanda,June,37.77,41.12
Botswana,May,21.28,35.26
Morocco,May,37.34,87.92
Zimbabwe,May,20.08,88.7
South Africa,July,43.6,55.42
Morocco,July,47.0,58.02
Malawi,August,44.73,65.09
Benin,July,44.57,72.98
Ethiopia,June,42.38,64.9
Tunisia,August,45.48,30.93
Nigeria,July,44.04,16.6
Algeria,May,30.34,29.21
Sierra Leone,May,49.52,47.37
Senegal,June,40.88,21.18
Benin,May,37.37,41.31
Comoros,August,33.35,26.1
Eswatini,June,46.07,10.78
Zambia,May,47.19,76.97
Tanzania,August,49.11,12.96
Kenya,May,34.12,16.96
Niger,May,23.95,85.3
Eswatini,August,21.13,81.06
Somalia,May,37.69,10.25
Uganda,June,35.3,63.37
Tanzania,June,42.8,46.26
Comoros,August,24.53,61.18
Zimbabwe,July,45.09,84.33
Gambia,June,46.0,13.35
Rwanda,June,48.96,65.6
Senegal,July,44.64,89.62
Comoros,May,41.85,81.89
Congo,August,21.54,31.15
Namibia,July,40.97,54.97
Zambia,June,49.52,16.95
Algeria,May,48.73,61.12
Morocco,July,41.43,36.49
Sao Tome and Principe,July,32.93,53.41
Togo,July,42.71,76.11
Cabo Verde,May,42.5,71.78
Mauritania,July,30.39,59.99
Gabon,May,24.56,29.44
Tanzania,July,43.14,87.94
Benin,July,42.84,82.64
Eritrea,July,33.51,63.16
Niger,June,39.42,60.12
Congo,August,21.58,23.47
Gabon,August,23.53,15.16
Botswana,July,49.78,35.9
Benin,August,28.34,65.12
Sierra Leone,May,32.49,21.95
Togo,August,44.76,77.81
Mauritius,August,46.94,85.8
Nigeria,August,22.98,12.97
Burkina Faso,May,31.79,66.54
Democratic Republic of the Congo,July,25.41,78.2
Tunisia,August,39.97,82.3
Namibia,July,28.02,78.72
Cameroon,August,30.03,86.06
Lesotho,May,36.15,32.23
Zambia,June,24.05,82.94
Niger,June,26.83,41.41
Malawi,June,25.44,65.31
Kenya,May,23.72,40.57
Tanzania,June,46.12,78.08
Liberia,June,47.8,81.95
Rwanda,June,32.92,43.8
Zimbabwe,May,32.32,24.84
Somalia,August,42.85,25.8
Egypt,July,46.46,66.84
Chad,August,27.41,65.68
Rwanda,August,42.57,84.39
Tunisia,August,37.37,72.2
Burundi,June,37.52,48.46
Burkina Faso,May,36.95,75.25
Cameroon,May,39.12,19.06
Comoros,June,35.4,28.53
Libya,June,31.38,49.5
Sudan,August,43.54,43.6
Guinea-Bissau,June,23.45,64.22
Burkina Faso,July,48.88,27.77
Seychelles,August,49.83,19.57
Sudan,August,23.23,40.71
Sao Tome and Principe,July,23.03,83.52
Ivory Coast,July,39.56,48.16
Kenya,May,20.1,61.49
Gabon,August,30.13,60.44
Madagascar,August,44.73,58.55
Niger,July,25.39,42.84
Namibia,July,29.34,23.62
Libya,August,31.94,26.88
Zambia,August,29.54,17.5
Niger,July,42.53,81.55
Egypt,June,29.49,41.33
Malawi,June,36.63,66.0
Mali,June,48.72,12.72
Togo,July,47.09,77.09
Somalia,May,21.41,61.47
Madagascar,June,48.47,25.04
Comoros,May,28.21,39.83
Morocco,June,37.21,71.03
Mauritius,May,43.04,68.89
Egypt,July,25.54,69.44
Ghana,June,38.56,20.21
South Sudan,June,49.26,86.19
Democratic Republic of the Congo,May,24.1,15.11
Kenya,August,40.22,73.54
Eswatini,May,41.65,66.3
Algeria,July,24.66,39.86
Uganda,July,30.07,44.47
Uganda,May,37.67,65.42
Tanzania,June,23.86,11.17
Algeria,June,29.92,34.26
Sao Tome and Principe,July,40.08,23.85
Sudan,May,43.1,46.09
Sao Tome and Principe,July,30.29,68.08
Sudan,June,24.27,23.82
Senegal,May,47.37,58.9
Libya,May,43.3,48.08
Mali,June,46.0,32.99
Guinea,June,20.04,15.0
Algeria,June,29.83,13.77
Mauritania,July,46.14,13.48
Mauritius,May,48.57,83.03
Gabon,June,34.41,87.64
Congo,June,39.26,77.63
Mauritius,July,30.51,74.04
Sudan,July,46.0,13.16
Burundi,June,48.26,68.4
Malawi,August,20.32,54.5
Angola,June,23.77,12.99
Eritrea,June,36.09,48.2
Comoros,August,42.02,69.87
Ethiopia,August,26.23,37.79
Burkina Faso,May,29.78,37.19
Namibia,July,34.83,15.89
Chad,August,38.01,29.4
Comoros,August,42.38,12.48
Cameroon,May,33.85,76.04
Sao Tome and Principe,May,39.05,14.08
Senegal,August,37.46,67.78
Senegal,July,22.04,88.15
Togo,July,38.78,20.6
Mauritius,August,38.95,35.58
Morocco,June,39.35,79.4
Guinea,July,37.73,68.1
South Africa,July,41.62,49.22
Egypt,August,40.5,32.0
Madagascar,May,30.35,58.3
Sao Tome and Principe,August,31.34,69.63
Ivory Coast,July,41.86,80.25
Congo,July,49.86,49.99
Seychelles,May,44.48,82.82
Sudan,July,35.1,12.94
Libya,June,20.84,13.86
Nigeria,August,31.35,89.34
Ghana,August,28.09,12.54
Mali,May,38.47,29.02
Zimbabwe,July,42.23,40.83
Central African Republic,August,20.02,66.63
Angola,May,26.82,71.75
Niger,May,25.93,83.19
Sierra Leone,July,36.34,39.43
Equatorial Guinea,June,37.42,83.84
Mauritius,August,24.31,41.28
Ghana,July,33.93,56.92
Cabo Verde,July,35.62,46.86
Togo,June,22.55,25.91
Congo,July,37.73,66.12
Burkina Faso,July,43.98,59.0
Senegal,August,22.65,27.78
Tunisia,June,44.07,61.5
Madagascar,August,49.72,45.79
South Africa,May,27.23,17.55
Morocco,July,48.74,15.63
Burkina Faso,July,25.9,12.25
Seychelles,July,36.87,24.09
Tunisia,June,32.09,25.26
Central African Republic,July,35.74,26.26
Benin,August,26.82,74.37
Guinea,June,40.31,51.43
Libya,August,41.92,68.31
Ghana,July,31.08,27.7
Mauritania,June,34.52,34.02
Guinea-Bissau,May,32.11,53.55
Tanzania,July,40.33,36.46
Benin,June,28.66,67.26
Malawi,June,31.57,79.94
Madagascar,July,45.62,23.1
Mozambique,August,40.23,51.09
Kenya,July,33.14,34.85
Mauritius,May,49.5,65.59
Sao Tome and Principe,May,22.21,66.07
Central African Republic,June,36.4,40.94
Libya,August,26.73,35.25
Ethiopia,May,48.98,15.3
Benin,August,36.13,44.45
Morocco,May,41.18,41.33
Libya,August,35.74,10.26
Egypt,May,24.0,73.91
Liberia,June,21.36,53.87
Eritrea,May,45.87,32.17
Ivory Coast,June,27.49,57.79
Kenya,August,26.07,22.49
Ethiopia,August,44.88,38.15
Comoros,May,43.05,33.1
Central African Republic,July,40.77,15.91
Uganda,May,44.18,73.3
Burkina Faso,July,32.9,53.74
Sierra Leone,July,43.9,64.19
Gambia,June,39.31,75.24
Sudan,June,34.14,19.96
South Sudan,July,20.86,19.69
Sierra Leone,August,37.42,33.05
Lesotho,May,26.05,25.81
Morocco,May,27.56,52.77
Djibouti,July,24.69,72.87
Burundi,August,42.22,15.56
Guinea,August,32.42,70.32
Burundi,June,21.69,84.2
Senegal,July,37.71,53.26
Uganda,July,38.01,33.91
Somalia,August,46.78,60.4
Sao Tome and Principe,May,24.29,47.65
Ghana,June,42.76,27.36
Sierra Leone,July,20.98,52.65
Gambia,July,37.12,26.51
South Africa,July,38.75,57.87
Mauritania,June,30.37,53.26
Mauritius,August,42.9,46.63
Namibia,July,48.72,62.14
Liberia,July,23.32,16.65
Burundi,August,33.76,30.46
Eritrea,August,47.14,40.85
Rwanda,May,21.06,60.84
Chad,June,27.28,19.57
Eswatini,August,33.91,55.16
Lesotho,August,21.05,24.12
Morocco,August,38.49,71.01
Eswatini,July,42.76,46.96
Congo,May,36.42,32.58
Nigeria,August,43.44,44.42
Tanzania,May,48.19,39.01
Zambia,May,45.08,85.32
Chad,May,27.63,67.91
Eritrea,June,46.51,25.49
Somalia,August,32.77,31.69
Namibia,June,33.13,68.61
Zimbabwe,May,30.84,80.17
Djibouti,June,23.76,14.67
Eritrea,August,27.53,32.46
Guinea,May,41.31,86.85
Angola,June,27.12,70.41
Tunisia,August,21.44,80.0
Ethiopia,June,41.8,52.77
Sudan,August,24.47,15.36
Angola,June,47.82,87.84
Democratic Republic of the Congo,May,25.42,70.35
Sudan,August,45.17,45.15
Congo,July,28.73,34.12
Democratic Republic of the Congo,June,42.76,81.62
Uganda,July,21.97,43.27
Comoros,July,48.11,68.43
Tunisia,May,32.86,70.94
Egypt,May,33.9,66.55
Tanzania,August,24.43,85.57
Guinea,August,38.29,78.87
Lesotho,July,43.58,76.98
Lesotho,May,40.14,24.47
Mauritania,May,37.46,67.16
Zimbabwe,June,32.57,13.76
Comoros,June,27.87,60.34
Chad,August,33.33,54.11
Senegal,May,36.66,41.56
Morocco,July,31.49,47.52
Cameroon,July,29.05,32.47
Mali,July,39.95,11.08
Sierra Leone,July,22.62,71.57
Nigeria,May,33.08,83.03
Namibia,May,32.53,33.86
Nigeria,June,28.34,21.23
Lesotho,August,29.22,72.1
Togo,July,47.12,83.1
Burundi,May,42.26,38.26
South Africa,May,44.37,82.2
Libya,June,44.47,83.71
Cameroon,May,42.04,35.39
Sao Tome and Principe,July,25.52,88.55
Mozambique,August,33.28,64.89
Central African Republic,August,34.42,68.72
South Africa,August,22.18,66.51
Senegal,August,23.06,65.01
Libya,June,31.01,77.78
Seychelles,July,37.07,60.98
Tunisia,July,48.93,13.08
Equatorial Guinea,July,48.05,33.3
Malawi,July,30.18,32.19
Gabon,May,31.79,63.27
Rwanda,June,46.46,31.8
Mauritania,May,21.07,19.02
Senegal,June,20.32,50.5
Namibia,June,28.11,34.78
Tanzania,July,49.45,30.71
Morocco,August,40.46,65.5
Cabo Verde,August,47.51,31.79
Cameroon,July,39.56,72.3
Togo,July,20.59,60.89
Mauritania,June,49.04,59.72
Namibia,May,27.83,56.1
Somalia,May,35.03,63.85
Comoros,May,47.63,33.08
Niger,July,33.5,31.82
Eritrea,August,23.05,24.63
Ivory Coast,July,29.27,29.92
Libya,August,20.92,74.0
Mauritius,June,29.23,39.94
Tunisia,July,43.83,28.32
Benin,July,49.67,29.82
Guinea-Bissau,May,42.01,42.88
Sao Tome and Principe,May,45.39,11.72
Cabo Verde,July,49.19,82.13
Mozambique,July,32.06,50.1
Zimbabwe,May,47.3,52.74
Malawi,June,25.62,61.52
South Sudan,August,24.68,71.55
Democratic Republic of the Congo,July,40.38,16.55
Comoros,July,38.38,39.79
Congo,July,26.17,64.44
Sudan,May,20.69,83.17
Cameroon,June,26.28,34.7
Burundi,May,43.24,77.76
Congo,June,38.88,57.9
Sierra Leone,May,34.43,70.11
Lesotho,July,31.68,65.72
Niger,May,48.24,88.73
Congo,June,47.36,77.07
Madagascar,July,29.9,81.31
Cabo Verde,June,28.72,13.47
Mauritania,May,34.2,21.95
Uganda,August,25.52,64.2
Eritrea,July,21.53,75.12
Comoros,June,20.47,42.97
Gabon,July,29.73,75.88
Gabon,July,27.64,48.38
Central African Republic,July,20.4,55.69
Cabo Verde,July,45.03,51.52
Malawi,May,23.13,36.32
Chad,June,24.44,12.31
Central African Republic,August,41.08,41.41
Eswatini,June,29.54,82.73
Ethiopia,July,38.98,49.58
Sao Tome and Principe,August,36.52,85.64
Comoros,July,47.55,43.08
Eritrea,August,34.6,49.98
Eswatini,July,47.24,76.82
Guinea-Bissau,August,35.21,76.54
Cameroon,June,42.22,88.72
Lesotho,May,41.42,38.59
Mauritania,June,37.32,65.02
South Africa,June,26.28,83.8
Ghana,August,33.32,51.4
Malawi,June,39.04,76.98
Algeria,May,46.28,12.46
Eswatini,June,48.35,88.89
Comoros,July,32.21,23.94
Sudan,May,42.12,59.65
Burkina Faso,July,43.62,78.64
Egypt,June,20.66,64.91
Namibia,August,35.6,69.97
Egypt,June,37.69,74.49
Chad,August,23.68,44.66
Niger,May,33.41,81.5
Comoros,August,45.27,21.16
Cabo Verde,June,38.87,14.37
Namibia,May,47.74,68.84
Somalia,July,46.59,26.6
Ethiopia,May,31.99,51.25
Niger,May,43.73,43.53
Gabon,June,46.78,11.19
Gambia,May,36.18,51.0
Botswana,August,30.36,32.25
Comoros,June,26.17,21.46
Central African Republic,August,22.26,44.43
Nigeria,May,24.93,85.04
Mauritius,June,37.63,58.03
Cabo Verde,July,29.99,84.96
Tanzania,June,34.14,82.06
Somalia,August,33.33,32.31
Zimbabwe,July,25.23,47.15
Equatorial Guinea,August,23.76,55.4
Guinea,June,44.5,78.68
Benin,May,42.3,88.88
Lesotho,May,35.39,65.51
Guinea-Bissau,May,40.31,26.9
Burkina Faso,June,32.17,18.22
Mali,May,41.64,27.36
Morocco,July,33.67,85.39
Guinea,August,41.15,88.06
Guinea-Bissau,August,47.15,48.39
Gabon,August,24.45,40.53
Togo,August,45.63,81.44
Djibouti,August,49.29,69.76
Eswatini,June,37.94,45.94
Tunisia,August,24.08,16.46
Togo,May,31.34,41.74
Sudan,August,39.63,50.89
Gabon,May,29.86,75.05
Cameroon,June,23.81,52.97
Guinea-Bissau,July,42.71,49.32
Ghana,May,32.82,56.08
Liberia,May,21.69,16.77
Egypt,June,26.86,21.99
Malawi,July,25.25,49.36
Gabon,August,44.23,70.09
South Sudan,August,39.27,69.22
Ivory Coast,May,38.79,79.78
Central African Republic,August,21.59,69.25
Namibia,May,34.71,20.71
Namibia,June,48.08,21.32
Comoros,August,40.35,43.63
Guinea-Bissau,June,42.64,12.92
Algeria,June,35.45,14.72
Guinea-Bissau,August,27.03,10.67
Tunisia,August,42.77,19.78
Sierra Leone,June,34.74,59.3
South Sudan,June,27.82,68.95
Namibia,August,35.98,80.94
Madagascar,June,24.7,77.5
Zimbabwe,July,44.19,45.74
Liberia,July,21.42,85.82
Democratic Republic of the Congo,May,41.84,41.94
South Sudan,June,49.31,65.58
Comoros,May,44.55,68.92
South Sudan,July,40.51,31.02
Madagascar,August,46.54,43.37
Eritrea,August,39.7,70.85
Ivory Coast,June,25.53,34.08
Kenya,July,46.86,22.42
Ghana,July,34.52,30.67
Nigeria,July,32.2,32.94
Egypt,August,23.99,49.2
Liberia,August,28.17,48.43
Central African Republic,June,40.88,74.17
Somalia,August,32.46,64.27
Ethiopia,May,48.78,32.36
Somalia,August,44.4,39.38
Democratic Republic of the Congo,August,26.72,60.88
Comoros,May,47.72,54.27
Rwanda,May,29.99,20.95
Tunisia,June,30.35,85.41
Cabo Verde,May,25.34,14.49
Seychelles,July,39.84,35.75
Sao Tome and Principe,May,37.78,37.22
Mauritius,May,49.97,77.18
Lesotho,June,21.87,29.6
Uganda,July,46.66,76.02
Namibia,June,37.38,72.22
Uganda,June,35.34,42.58
Gabon,June,23.81,59.92
Cabo Verde,August,21.58,58.13
Gambia,June,31.26,12.91
Gambia,June,29.54,41.85
Niger,July,48.4,11.49
Niger,July,41.04,37.72
Sao Tome and Principe,August,46.73,83.93
Tanzania,August,41.83,33.16
Senegal,August,29.72,49.22
Cameroon,July,44.95,16.77
Guinea,May,22.3,80.86
Angola,August,36.53,28.31
Equatorial Guinea,June,33.62,40.11
Democratic Republic of the Congo,June,45.44,53.74
Mali,July,41.03,70.8
South Sudan,June,29.82,34.29
Malawi,August,33.09,23.99
Lesotho,June,26.84,78.71
Zimbabwe,August,20.89,56.56
Mozambique,August,34.49,75.76
Egypt,June,46.45,85.44
Ivory Coast,July,37.42,62.58
South Africa,July,35.6,69.3
Eswatini,May,27.25,83.33
Algeria,July,23.31,18.2
Congo,August,44.18,39.13
Libya,August,32.73,78.33
Mozambique,May,43.4,77.54
Lesotho,July,40.1,31.74
Uganda,May,42.39,35.19
Somalia,June,28.6,57.58
Eswatini,July,23.47,49.58
Cameroon,July,30.02,87.35
Central African Republic,August,32.09,62.97
Zambia,August,42.41,72.31
Malawi,July,49.77,66.23
South Sudan,August,28.39,13.92
Sudan,June,39.14,43.5
Sao Tome and Principe,July,48.85,80.83
Nigeria,August,40.48,20.6
Morocco,August,44.11,66.34
Mauritius,July,37.51,62.96
Eritrea,June,41.38,39.86
Mozambique,August,29.41,84.37
Guinea-Bissau,August,26.37,75.53
Sao Tome and Principe,May,37.07,48.91
Uganda,June,21.88,39.32
Sudan,July,41.69,89.96
Cameroon,May,41.74,45.32
South Africa,June,42.83,62.88
Gambia,May,29.53,19.05
Senegal,August,42.4,29.65
Gambia,August,27.57,58.64
Burkina Faso,June,47.96,11.74
Somalia,June,36.3,32.77
Mauritania,May,24.87,39.54
Sierra Leone,July,25.69,61.87
Chad,May,47.07,62.25
South Africa,June,35.48,27.96
Sudan,June,45.06,66.91
Morocco,May,30.94,35.99
Malawi,June,45.9,48.71
Sao Tome and Principe,August,39.99,78.79
Ivory Coast,May,22.56,21.14
Guinea-Bissau,July,46.89,30.04
Chad,June,38.18,79.23
Namibia,July,22.59,74.35
Chad,May,44.96,18.77
Botswana,May,36.57,86.53
Tanzania,June,45.97,45.87
Namibia,May,45.7,29.84
Botswana,May,24.9,34.85
Eritrea,August,30.25,52.17
Tunisia,July,35.06,40.07
Algeria,May,48.12,78.51
Namibia,July,34.11,79.67
Uganda,August,21.04,26.11
Botswana,July,26.52,25.91
Nigeria,July,42.89,18.88
Zambia,August,42.62,33.86
Ivory Coast,June,40.42,37.19
Eswatini,May,41.18,15.22
Guinea-Bissau,June,22.38,15.27
Kenya,May,20.36,61.59
Guinea,June,49.38,73.87
Mauritius,June,34.44,75.79
Zambia,July,32.64,89.28
Seychelles,July,45.4,16.17
Equatorial Guinea,June,31.04,52.76
Rwanda,June,44.13,40.8
Algeria,June,44.86,15.02
Niger,August,22.68,35.51
Equatorial Guinea,July,28.93,64.71
Sudan,August,38.66,81.16
Central African Republic,August,30.16,52.81
Senegal,June,36.46,17.72
Botswana,May,32.56,33.79
Somalia,August,43.51,56.14
Ghana,June,43.18,68.0
Benin,June,23.17,63.57
Guinea-Bissau,August,29.93,71.78
Guinea,July,27.26,71.34
Eswatini,May,34.63,24.73
Rwanda,May,24.04,70.14
Guinea,May,48.21,44.13
Zambia,June,40.76,23.14
Cabo Verde,August,49.3,71.37
Tunisia,June,32.27,42.12
South Africa,May,45.55,82.77
Togo,July,27.11,88.56
Zimbabwe,June,23.17,18.22
Sudan,July,38.72,72.68
Djibouti,July,42.52,23.14
Liberia,July,32.88,11.37
Libya,June,30.44,40.43
South Africa,June,21.55,52.83
Tanzania,July,24.31,76.07
Mauritania,May,35.46,58.04
Guinea-Bissau,June,42.41,47.27
South Africa,August,46.18,53.6
Cabo Verde,July,37.85,28.41
Mauritius,August,20.57,38.49
Comoros,July,47.18,66.29
Angola,May,49.32,18.73
Namibia,June,38.32,75.08
Equatorial Guinea,August,48.62,15.72
Guinea,May,21.68,81.49
Djibouti,May,36.17,63.32
Tanzania,August,36.88,48.29
